"State","Contract ID","Agency ID","Slug Name","Agency/Facility Name","Contract Holder (if different than Facility Name)","Integration Type","Aliases","Agency Classification","Product(s) Purchased","NTDID","Name on NTD"
"WA","1126","A","eastgate","TransWest-REI Corporate Campus","Parking & Transportation Management Services, LLC","SinglePoint","Eastgate","Commercial","RealTime, Traveler",NA,NA
"AL","1128","A","them","The M Transit System","City of Montgomery","TransLoc","The M","Municipal","RealTime",40044,"City of Montgomery-Montgomery Area Transit System"
"NJ","1129","A","njcu","New Jersey City University","First Transit, Inc.","TransLoc","NJCU","University","RealTime",NA,NA
"GA","1130","A","gsu","Georgia State University",NA,"TransLoc","GSU, Panther Ambassadors","University","RealTime",NA,NA
"MD","1131","A","theshuttle","TD Shuttle","Transdev North America, Inc.","TransLoc","Transdev, UnderArmour","Commercial","RealTime",NA,NA
"MD","1132","A","umd","University of Maryland, College Park",NA,"TransLoc","UMD, UMDCP","University","OnDemand",NA,NA
"FL","1134","A","not yet assigned","Florida Agricultural and Mechanical University",NA,"TransLoc","FAMU","University","RealTime",NA,NA
"IL","1135","A","qcmetro","MetroLINK","Rock Island County Metropolitan Mass Transit District","INIT","QuadCities MetroLINK","Municipal","Rider, Traveler",50057,"Rock Island County Metropolitan Mass Transit District"
"NY","1136","A","bny","Brooklyn Navy Yard Development Corp.",NA,"TransLoc","BNYDC, BNY","Commercial","RealTime",NA,NA
"NC","1137","A","linktransit","Link Transit","City of Burlington","TransLoc",NA,"Municipal","RealTime",NA,NA
"NC","1138","A","not yet assigned","Greensboro Transit Authority","City of Greensboro","TransLoc","GTA","Municipal","RealTime",40093,"Greensboro Transit Authority"
"GA","1139","A","not yet assigned","Chick-fil-A",NA,"TransLoc",NA,"Commercial","RealTime",NA,NA
"GA","1140","A","not yet assigned","Concourse Shuttle","Lanier Shuttle and Valet, Inc.","TransLoc",NA,"Commercial","RealTime",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total agencies:","144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total integrations:","#REF!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
